"GMP" "GMP-like" "Prog-like" "ProMono-like" "HSC-like" "cDC-like" "Mono-like" "Mono" "Prog" "cDC" "HSC" "ProMono" "earlyEry" "CTL" "T" "Plasma" "ProB" "NK" "lateEry" "pDC" "B"
"GMP" 0.712768240343348 0.0427038626609442 0.0158798283261803 0.0148068669527897 0.00472103004291845 0.00482832618025751 0.000107296137339056 0.00107296137339056 0.0724248927038627 0.00954935622317597 0.001931330472103 0.0893776824034335 0.0195278969957082 0.00354077253218884 0.00128755364806867 0.000429184549356223 0.00236051502145923 0.000429184549356223 0.000536480686695279 0.00139484978540773 0.000321888412017167
"GMP-like" 0.0986842105263158 0.387894736842105 0.230789473684211 0.0665789473684211 0.045 0.0426315789473684 0.00157894736842105 0.00157894736842105 0.0344736842105263 0.0107894736842105 0.0126315789473684 0.0218421052631579 0.0318421052631579 0.00815789473684211 0.005 0 0.000526315789473684 0 0 0 0
"Prog-like" 0.0336065573770492 0.208196721311475 0.455464480874317 0.00382513661202186 0.0830601092896175 0.023224043715847 0.000273224043715847 0.000546448087431694 0.0819672131147541 0.00437158469945355 0.0297814207650273 0.0046448087431694 0.0475409836065574 0.0109289617486339 0.0103825136612022 0 0.00218579234972678 0 0 0 0
"ProMono-like" 0.0395569620253165 0.100632911392405 0.0132911392405063 0.490822784810127 0.00316455696202532 0.109493670886076 0.070253164556962 0.0262658227848101 0.000632911392405063 0.0443037974683544 0.00443037974683544 0.0908227848101266 0.00443037974683544 0.00189873417721519 0 0 0 0 0 0 0
"HSC-like" 0.0313725490196078 0.17843137254902 0.342156862745098 0.0127450980392157 0.158823529411765 0.0509803921568627 0.00196078431372549 0.00588235294117647 0.0774509803921569 0.0137254901960784 0.042156862745098 0.00882352941176471 0.0392156862745098 0.0147058823529412 0.0196078431372549 0 0.000980392156862745 0 0 0.000980392156862745 0
"cDC-like" 0.0270491803278689 0.100819672131148 0.0598360655737705 0.154508196721311 0.0237704918032787 0.318032786885246 0.166393442622951 0.015983606557377 0.00737704918032787 0.0827868852459016 0.0069672131147541 0.0229508196721311 0.00778688524590164 0.00204918032786885 0.00122950819672131 0 0 0 0 0.00245901639344262 0
"Mono-like" 0.000657894736842105 0.00328947368421053 0 0.06875 0.000986842105263158 0.103618421052632 0.645394736842105 0.154934210526316 0 0.0125 0 0.00888157894736842 0.000328947368421053 0 0.000328947368421053 0 0 0 0 0 0.000328947368421053
"Mono" 0.00138436482084691 0.000732899022801303 0.000407166123778502 0.00618892508143322 0.000895765472312704 0.00325732899022801 0.0433224755700326 0.817100977198697 0.000814332247557003 0.0240228013029316 0.000244299674267101 0.0960912052117264 0.00179153094462541 0.000407166123778502 0.000570032573289902 0 0 0.000162866449511401 0.00146579804560261 0 0.0011400651465798
"Prog" 0.0480276134122288 0.0132149901380671 0.0297830374753452 9.86193293885602e-05 0.00631163708086785 0.0014792899408284 0 0 0.801676528599605 0.00285996055226824 0.0486193293885602 0.000394477317554241 0.0357988165680473 0.00138067061143984 0.00285996055226824 0 0.00433925049309665 0.000986193293885602 0 0.00216962524654832 0
"cDC" 0.0208064516129032 0.0114516129032258 0.00354838709677419 0.0288709677419355 0.00274193548387097 0.0338709677419355 0.0116129032258065 0.0588709677419355 0.00967741935483871 0.674516129032258 0.00145161290322581 0.103064516129032 0.00919354838709677 0.00387096774193548 0.00112903225806452 0.000645161290322581 0.000645161290322581 0.000483870967741935 0.000161290322580645 0.0214516129032258 0.00193548387096774
"HSC" 0.0205357142857143 0.0571428571428571 0.113392857142857 0.00535714285714286 0.05 0.0133928571428571 0 0.00178571428571429 0.505357142857143 0.00892857142857143 0.158035714285714 0.000892857142857143 0.0491071428571429 0.00714285714285714 0.00714285714285714 0 0.00178571428571429 0 0 0 0
"ProMono" 0.043944099378882 0.00854037267080745 0.0016304347826087 0.0177795031055901 0.00077639751552795 0.00349378881987578 0.0031055900621118 0.078416149068323 0.000698757763975155 0.0260093167701863 7.7639751552795e-05 0.803649068322981 0.00551242236024845 0.00131987577639752 0.00170807453416149 0.00147515527950311 0 0.000388198757763975 0.00139751552795031 0 7.7639751552795e-05
"earlyEry" 0.0171614100185529 0.0136363636363636 0.0219851576994434 0.000834879406307978 0.00538033395176252 0.00157699443413729 0 0.000185528756957328 0.0582560296846011 0.0023191094619666 0.00482374768089054 0.00408163265306122 0.761224489795918 0.00204081632653061 0.0038961038961039 0 0.000556586270871985 9.27643784786642e-05 0.101855287569573 0 9.27643784786642e-05
"CTL" 0.00529197080291971 0.00912408759124088 0.0116788321167883 0.00109489051094891 0.00364963503649635 0.00127737226277372 0 0.000912408759124088 0.00474452554744526 0.00200729927007299 0.00145985401459854 0.00273722627737226 0.00401459854014599 0.625912408759124 0.254014598540146 0.000182481751824818 0.00255474452554745 0.0660583941605839 0.00072992700729927 0.000912408759124088 0.00164233576642336
"T" 0.00115803814713896 0.00306539509536785 0.00449591280653951 0.000136239782016349 0.00163487738419619 0.000817438692098093 6.81198910081744e-05 0.00129427792915531 0.00354223433242507 0.00122615803814714 0.00102179836512262 0.000885558583106267 0.00374659400544959 0.0747275204359673 0.898228882833787 6.81198910081744e-05 0.000749318801089918 0.00115803814713896 0.000136239782016349 0.00102179836512262 0.000817438692098093
"Plasma" 0.000714285714285714 0 0 0 0 0 0 0 0.00214285714285714 0.00428571428571429 0 0.00142857142857143 0.000714285714285714 0.000714285714285714 0 0.965 0 0 0 0.0178571428571429 0.00714285714285714
"ProB" 0.00476190476190476 0.00317460317460317 0.00793650793650794 0 0.00158730158730159 0 0 0.000396825396825397 0.0476190476190476 0.00238095238095238 0.00238095238095238 0.00198412698412698 0.00753968253968254 0.00198412698412698 0.00158730158730159 0 0.897222222222222 0 0 0.00277777777777778 0.0166666666666667
"NK" 0.0046875 0.0009375 0.0028125 0 0.00125 0.0003125 0 0.0034375 0.0021875 0.0025 0.0003125 0.0003125 0.00125 0.15375 0.0090625 0 0 0.81375 0 0.0021875 0.00125
"lateEry" 0.000383141762452107 0 0 0 0 0 0 0 0 0.000191570881226054 0 0.0028735632183908 0.222413793103448 0.000191570881226054 0.000191570881226054 0 0 0 0.773754789272031 0 0
"pDC" 0.0246987951807229 0.000602409638554217 0 0.00120481927710843 0.00240963855421687 0.0072289156626506 0 0 0.0240963855421687 0.153614457831325 0 0.00602409638554217 0.000602409638554217 0 0.00301204819277108 0.00662650602409639 0.00602409638554217 0 0 0.75 0.013855421686747
"B" 0.00132743362831858 0.00132743362831858 0.000442477876106195 0 0 0.000442477876106195 0.00265486725663717 0.0119469026548673 0 0.00442477876106195 0.000442477876106195 0 0.00132743362831858 0.0154867256637168 0.0345132743362832 0 0.00884955752212389 0.00221238938053097 0 0.00132743362831858 0.913274336283186
